,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,sy_dist,sy_gaiamag,calc_temp,distance,have_life
0,11 Com b,11 Com,2,1,Radial Velocity,2007,326.03,1.29,12.1,1.08,6165.6,19.4,Msini,19.1,0.231,,,0,G8 III,4742.0,19.0,2.7,2.243,2.31,93.1846,4.44038,531.534640505111,0.09751910578372089,No
1,11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,1.53,12.3,1.09,4684.8142,14.74,Msini,13.8,0.08,,,0,K4 III,4213.0,29.79,2.78,2.43,1.93,125.321,4.56216,548.8337124781925,0.09325914527774587,No
2,14 And b,14 And,1,1,Radial Velocity,2008,185.84,0.83,12.9,1.15,1525.5,4.8,Msini,3.9,0.0,,,0,K0 III,4813.0,11.0,2.2,1.763,2.63,75.4392,4.91781,501.5889218105715,0.10903805408168524,No
3,14 Her b,14 Her,1,2,Radial Velocity,2002,1765.03890112,2.773069,12.6,1.12,2586.74645,8.13881,Mass,7.11,0.372689,,,0,K0 V,5338.0,0.93,0.91,-0.153,4.45,17.9323,6.383,-136.46466466646,3.3072016496025367,No
4,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,1.66,13.5,1.2,565.7374,1.78,Msini,1.26,0.68,,,0,G3 V,5750.0,1.13,1.08,0.097,4.36,21.1397,6.06428,-63.3839312049181,1.4845953230080469,No
5,17 Sco b,17 Sco,1,1,Radial Velocity,2020,578.38,1.45,12.9,1.15,1373.01872,4.32,Msini,3.51,0.06,,,0,K3 III,4157.0,25.92,1.22,2.254,1.7,124.953,4.75429,503.9836936729107,0.10823506996945964,No
6,18 Del b,18 Del,2,1,Radial Velocity,2008,993.3,2.6,12.5,1.11,3273.5,10.3,Msini,9.21,0.08,,,0,G6 III,4979.0,8.5,2.3,1.602,2.82,76.222,5.27476,124.9087106469533,0.4111244902102996,No
7,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,330.0,18.647,1.664,3000.0,8.0,Mass,2.54,,,1700.0,0,K7 V,4060.0,1.31,0.85,-0.37,4.0,139.135,12.0572,-261.83936654805615,505.25886235507,No
8,24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.3506,0.19,13.9,1.24,289.2253,0.91,Msini,0.592,0.042,,,0,G3 IV,4893.0,10.64,0.99,1.774,2.42,95.9863,5.3339,1345.8671383326605,0.024646406148695163,No
9,24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.8,1.333,13.4,1.19,632.46,1.99,Msini,1.44,0.09,,,0,K0 IV,5098.0,4.9,1.54,1.164,3.5,72.0691,6.20374,159.03034638538747,0.34900379499559075,No
10,24 Sex c,24 Sex,1,2,Radial Velocity,2010,883.0,2.08,13.9,1.24,273.32,0.86,Msini,0.559,0.29,,,0,K0 IV,5098.0,4.9,1.54,1.164,3.5,72.0691,6.20374,72.8279495334362,0.544582065709549,No
11,2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,,118.0,13.0,1.16,1271.31363,4.0,Mass,3.18,,,1450.0,0,M V,3100.0,0.84,0.17,-1.164,4.5,128.484,14.3374,-261.58508220717846,450.6942395912549,No
12,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,,84.0,12.3,1.1,4131.79,13.0,Mass,12.2,,,,0,M5.5/M6,,,0.19,,,47.2,,,,No
13,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,52.0,11.209,1.0,7786.5,24.5,Mass,30.4,,,1600.0,0,M3.5 V,3530.0,0.37,0.4,-1.72,4.86,33.8281,12.9025,-259.9839314360855,376.7066992389948,No
